"question","correct_answer","incorrect_answers"
"Quem é o capitão da USS Enterprise-D em 'Star Trek: The Next Generation'?","Jean-Luc Picard","Kathryn Janeway;James T. Kirk;Benjamin Sisko"
"Em 'Star Trek: Voyager', qual é o nome da ex-oficial Maquis que se torna primeira oficial da USS Voyager?","Chakotay","Data;Worf;Geordi La Forge"
"Quem é o chefe de engenharia na USS Enterprise-D em 'Star Trek: The Next Generation'?","Geordi La Forge","Seven of Nine;Deanna Troi;Tasha Yar"
"Em 'Star Trek: Voyager', quem é a oficial astrométrica Borg re-humanizada?","Seven of Nine","B'Elanna Torres;Beverly Crusher;Ro Laren"
"Quem é o conselheiro a bordo da USS Enterprise-D em 'Star Trek: The Next Generation'?","Deanna Troi","Kes;Guinan;B'Elanna Torres"
"Em 'Star Trek: Voyager', qual espécie persegue a Voyager por grande parte de sua jornada através do Quadrante Delta?","Kazon","Romulanos;Klingons;Cardassianos"
"Quem é o chefe de segurança que morre na primeira temporada de 'Star Trek: The Next Generation'?","Tasha Yar","B'Elanna Torres;Worf;Miles O'Brien"
"Em 'Star Trek: Voyager', qual é o nome da espécie nativa do Quadrante Delta que se une à tripulação da Voyager e tem habilidades psíquicas?","Ocampa","Bajoranos;Ferengi;Trill"
"Quem serve como o médico a bordo da USS Voyager?","Doutor Holográfico de Emergência","Beverly Crusher;Julian Bashir;Katherine Pulaski"
"Em 'Star Trek: The Next Generation', quem é o tenente comandante androide que serve como segundo oficial?","Data","Tom Paris;Harry Kim;Neelix"
"Qual é o nome da filha de Worf, um Klingon, em 'Star Trek: The Next Generation'?","Alexander Rozhenko","Naomi Wildman;Icheb;Molly O'Brien"
"Em 'Star Trek: Voyager', quem é a engenheira-chefe meio-Klingon?","B'Elanna Torres","Kira Nerys;Dax;Guinan"
